,Date,Open,High,Low,Close,Adj Close,Volume,1_day,3_day,5_day,10_day,20_day,30_day,1,5,10,20,30
0,2000-01-03,148.25,148.25,143.875,145.4375,95.30879974365234,8164300,139.75,137.75,146.25,145.8125,140.9375,141.078125,-3.910614525139665,0.5586592178770949,0.25784271594327457,-3.0941125913192953,-2.997421572840567
1,2000-01-04,143.53125,144.0625,139.640625,139.75,91.58164978027344,8089800,140.0,145.75,144.5,147.0,141.0625,139.0,0.17889087656529518,3.3989266547406083,5.18783542039356,0.9391771019677997,-0.5366726296958855
2,2000-01-05,139.9375,141.53125,137.25,140.0,91.74546813964844,12177900,137.75,146.25,143.0625,144.75,143.1875,138.28125,-1.607142857142857,2.1875,3.392857142857143,2.276785714285714,-1.2276785714285714
3,2000-01-06,139.625,141.5,137.75,137.75,90.27099609375,6227200,145.75,144.5,145.0,144.4375,142.59375,135.3125,5.807622504537205,5.263157894736842,4.854809437386569,3.5163339382940113,-1.7695099818511795
4,2000-01-07,140.3125,145.75,140.0625,145.75,95.5135726928711,8066500,146.25,143.0625,146.96875,140.34375,142.375,134.96875,0.34305317324185247,0.8361921097770154,-3.7092624356775303,-2.3156089193825045,-7.397084048027444
5,2000-01-10,146.25,146.90625,145.03125,146.25,95.84124755859376,5741700,144.5,145.0,145.8125,141.9375,144.3125,136.5625,-1.1965811965811968,-0.2991452991452992,-2.9487179487179485,-1.3247863247863247,-6.623931623931624
6,2000-01-11,145.8125,146.09375,143.5,144.5,94.69442749023438,7503700,143.0625,146.96875,147.0,140.8125,141.28125,133.8125,-0.9948096885813149,1.7301038062283738,-2.551903114186851,-2.2275086505190314,-7.396193771626297
7,2000-01-12,144.59375,144.59375,142.875,143.0625,93.7523956298828,6907700,145.0,145.8125,144.75,140.25,141.5625,133.328125,1.3543031891655744,1.1795543905635648,-1.9659239842726082,-1.0484927916120577,-6.804281345565749
8,2000-01-13,144.46875,145.75,143.28125,145.0,95.0220947265625,5158300,146.96875,147.0,144.4375,135.875,138.6875,136.125,1.357758620689655,-0.3879310344827586,-6.293103448275862,-4.3534482758620685,-6.120689655172414
9,2000-01-14,146.53125,147.46875,145.96875,146.96875,96.31227111816406,7437300,145.8125,144.75,140.34375,139.5625,139.5,137.4375,-0.7867318732723793,-4.507761003614714,-5.039336593663619,-5.081862640867532,-6.485222198596641
10,2000-01-18,145.34375,146.625,145.1875,145.8125,95.55459594726562,6488500,147.0,144.4375,141.9375,140.9375,141.078125,138.4375,0.8144020574367767,-2.6575225032147447,-3.3433347621088725,-3.246892413201886,-5.057865409344192
11,2000-01-19,145.3125,147.0,145.0,147.0,96.33273315429688,6157900,144.75,140.34375,140.8125,141.0625,139.0,138.53125,-1.530612244897959,-4.209183673469387,-4.039115646258503,-5.442176870748299,-5.761054421768708
12,2000-01-20,146.96875,146.96875,143.8125,144.75,94.8582763671875,5800100,144.4375,141.9375,140.25,143.1875,138.28125,141.125,-0.2158894645941278,-3.1088082901554404,-1.079447322970639,-4.4689119170984455,-2.5043177892918824
13,2000-01-21,145.5,145.5,144.0625,144.4375,94.65349578857422,6244800,140.34375,140.8125,135.875,142.59375,135.3125,139.75,-2.8342708784076156,-5.928169623539594,-1.2765036780614452,-6.317611423626136,-3.2453483340545217
14,2000-01-24,145.65625,145.84375,139.40625,140.34375,91.9707489013672,7896900,141.9375,140.25,139.5625,142.375,134.96875,137.046875,1.1356045424181698,-0.55666889334224,1.447339122689824,-3.8298819861946116,-2.349142729904253
15,2000-01-25,140.515625,141.9375,139.0,141.9375,93.01522827148438,9942500,140.8125,135.875,140.9375,144.3125,136.5625,136.875,-0.7926023778071334,-0.7045354469396742,1.673271686481726,-3.786878027300748,-3.5667107001321003
16,2000-01-26,141.0,141.546875,140.09375,140.8125,92.27796936035156,5158100,140.25,139.5625,141.0625,141.28125,133.8125,140.875,-0.3994673768308922,0.17754105636928538,0.3328894806924101,-4.971149578339991,0.044385264092321346
17,2000-01-27,141.84375,142.21875,138.125,140.25,91.90929412841795,10922700,135.875,140.9375,143.1875,141.5625,133.328125,140.125,-3.119429590017825,2.094474153297683,0.9358288770053476,-4.935383244206774,-0.08912655971479501
18,2000-01-28,139.4375,140.0625,135.53125,135.875,89.04227447509766,11916200,139.5625,141.0625,142.59375,138.6875,136.125,138.59375,2.7138914443422264,4.944802207911684,2.0699172033118676,0.18399264029438822,2.000919963201472
19,2000-01-31,135.8125,139.671875,135.0,139.5625,91.45881652832033,10768700,140.9375,143.1875,142.375,139.5,137.4375,136.625,0.9852216748768473,2.015226153157188,-0.044782803403493054,-1.522615315718764,-2.104791759964174
20,2000-02-01,139.75,141.6875,138.53125,140.9375,92.35986328125,8419900,141.0625,142.59375,144.3125,141.078125,138.4375,139.8125,0.08869179600886917,2.394678492239468,0.09977827050997783,-1.7738359201773837,-0.7982261640798226
21,2000-02-02,141.28125,142.25,140.375,141.0625,92.44175720214844,6205900,143.1875,142.375,141.28125,139.0,138.53125,146.34375,1.5064244572441292,0.15507310589277803,-1.4621178555604786,-1.79441736818786,3.7439078422684977
22,2000-02-03,140.875,143.25,140.0,143.1875,93.83434295654295,7997500,142.59375,144.3125,141.5625,138.28125,141.125,146.9375,-0.41466608467917937,-1.1348756001745963,-3.426451331296377,-1.4404190309908338,2.6189436927106065
23,2000-02-04,143.1875,144.0,142.125,142.59375,93.4452133178711,4925400,142.375,141.28125,138.6875,135.3125,139.75,146.1875,-0.15340784571553803,-2.739425816348893,-5.106289721674337,-1.9943019943019942,2.520271751040982
24,2000-02-07,142.5625,142.78125,141.4375,142.375,93.30188751220705,5845800,144.3125,141.5625,139.5,134.96875,137.046875,149.1875,1.3608428446005267,-2.019315188762072,-5.201931518876207,-3.742317822651449,4.784899034240562
25,2000-02-08,143.96875,144.5625,143.625,144.3125,94.57152557373048,4936400,141.28125,138.6875,141.078125,136.5625,136.875,150.09375,-2.100476396708532,-2.241229969683846,-5.370290168904288,-5.153746210480727,4.006063230835859
26,2000-02-09,144.46875,144.46875,141.265625,141.28125,92.5851058959961,8511500,141.5625,139.5,139.0,133.8125,140.875,152.65625,0.19907100199071004,-1.61468701614687,-5.286441052864411,-0.28754700287547,8.051316080513162
27,2000-02-10,141.625,142.5625,140.875,141.5625,92.76941680908205,6690600,138.6875,141.078125,138.28125,133.328125,140.125,153.5625,-2.0309050772626933,-2.3178807947019866,-5.816777041942605,-1.0154525386313467,8.47682119205298
28,2000-02-11,141.84375,141.9375,138.03125,138.6875,90.88533782958984,9849800,139.5,139.0,135.3125,136.125,138.59375,151.9375,0.5858494817485354,-2.4335286164939163,-1.847679134745381,-0.067598017124831,9.553853086976115
29,2000-02-14,139.78125,139.78125,138.3125,139.5,91.41779327392578,8528800,141.078125,138.28125,134.96875,137.4375,136.625,151.0625,1.1312724014336917,-3.2482078853046596,-1.478494623655914,-2.0609318996415773,8.28853046594982
30,2000-02-15,139.25,141.21875,137.796875,141.078125,92.45198822021484,11078300,139.0,135.3125,136.5625,138.4375,139.8125,151.21875,-1.4730313434488869,-3.2007974305017166,-1.8717465943072324,-0.897109314431277,7.18794993908517
31,2000-02-16,140.375,140.9375,138.796875,139.0,91.09014129638672,8845400,138.28125,134.96875,133.8125,138.53125,146.34375,148.6875,-0.5170863309352518,-3.7320143884892083,-0.33723021582733814,5.283273381294964,6.969424460431655
32,2000-02-17,140.4375,140.4375,138.21875,138.28125,90.61910247802734,7584200,135.3125,136.5625,133.328125,141.125,146.9375,150.375,-2.1468926553672314,-3.5819209039548023,2.056497175141243,6.259887005649717,8.745762711864407
33,2000-02-18,138.875,138.875,134.625,135.3125,88.67367553710938,9409200,134.96875,133.8125,136.125,139.75,146.1875,151.25,-0.2540415704387991,0.6004618937644343,3.2794457274826794,8.036951501154736,11.778290993071593
34,2000-02-22,135.1875,136.34375,133.53125,134.96875,88.44835662841797,16415400,136.5625,133.328125,137.4375,137.046875,149.1875,150.125,1.18082889557768,1.8291271127575826,1.539708265802269,10.53484602917342,11.229451261866172
35,2000-02-23,135.625,137.46875,134.5,136.5625,89.49281311035156,12119000,133.8125,136.125,138.4375,136.875,150.09375,149.1875,-2.013729977116705,1.3729977116704806,0.2288329519450801,9.90846681922197,9.244851258581235
36,2000-02-24,136.6875,137.03125,133.09375,133.8125,87.69065856933594,17375000,133.328125,137.4375,138.53125,140.875,152.65625,150.484375,-0.3619803829985988,3.5263895375992527,5.277907519850538,14.082204577300327,12.459131247080803
37,2000-02-25,135.1875,136.71875,133.125,133.328125,87.37320709228516,10559900,136.125,138.4375,141.125,140.125,153.5625,151.4375,2.0977381928981598,5.84788468299543,5.097855384975976,15.176374077112387,13.582561818821048
38,2000-02-28,133.375,136.6875,132.71875,136.125,89.2060775756836,13397800,137.4375,138.53125,139.75,138.59375,151.9375,150.84375,0.9641873278236914,2.6629935720844813,1.8135904499540865,11.616161616161616,10.81267217630854
39,2000-02-29,136.0625,137.4375,135.75,137.4375,90.06617736816406,8242500,138.4375,141.125,137.046875,136.625,151.0625,150.40625,0.7276034561164165,-0.2842201000454752,-0.5911778080945885,9.913597089586174,9.436107321509777
40,2000-03-01,137.625,139.0,137.21875,138.4375,90.72152709960938,6868000,138.53125,139.75,136.875,139.8125,151.21875,146.28125,0.06772009029345372,-1.1286681715575622,0.9932279909706546,9.232505643340858,5.665914221218961
41,2000-03-02,138.6875,139.125,137.34375,138.53125,90.78302001953124,7600200,141.125,137.046875,140.875,146.34375,148.6875,144.25,1.8723212271599368,1.6918565305662079,5.639521768554027,7.331378299120235,4.128129934581548
42,2000-03-03,140.4375,141.71875,139.71875,141.125,92.48274230957033,12770300,139.75,136.875,140.125,146.9375,150.375,136.0,-0.9743135518157661,-0.70859167404783,4.1186891054030115,6.554472984942426,-3.631532329495128
43,2000-03-06,140.8125,141.34375,138.75,139.75,91.58164978027344,11967100,137.046875,140.875,138.59375,146.1875,151.25,140.75,-1.9342576028622538,-0.8273703041144902,4.606440071556351,8.228980322003578,0.7155635062611807
44,2000-03-07,140.0,140.15625,135.21875,137.046875,89.81021118164062,20062000,136.875,140.125,136.625,149.1875,150.125,144.46875,-0.12541329380914376,-0.30783263025880747,8.85873902633679,9.54281153802303,5.41557405084939
45,2000-03-08,136.46875,137.84375,135.03125,136.875,89.69757080078125,11808500,140.875,138.59375,139.8125,150.09375,149.1875,143.125,2.922374429223744,2.146118721461187,9.657534246575343,8.995433789954339,4.5662100456621
46,2000-03-09,137.25,140.875,136.125,140.875,92.31888580322266,5500900,140.125,136.625,146.34375,152.65625,150.484375,143.8125,-0.5323868677905945,3.881987577639751,8.362910381543921,6.821206743566992,2.085181898846495
47,2000-03-10,140.1875,142.0,139.53125,140.125,91.82740020751952,7924600,138.59375,139.8125,146.9375,153.5625,151.4375,142.25,-1.0927743086529884,4.861730597680642,9.589652096342553,8.073148974130241,1.5165031222123104
48,2000-03-13,136.6875,140.46875,135.6875,138.59375,90.82393646240234,10540500,136.625,146.34375,146.1875,151.9375,150.84375,148.15625,-1.4205186020293123,5.479143179255919,9.627959413754228,8.838782412626832,6.899661781285231
49,2000-03-14,139.28125,140.09375,136.15625,136.625,89.53374481201172,8263900,139.8125,146.9375,149.1875,151.0625,150.40625,146.484375,2.3330283623055807,9.194876486733762,10.567246111619397,10.086916742909423,7.216376944190301
50,2000-03-15,136.875,140.4375,136.0625,139.8125,91.62259674072266,10300800,146.34375,146.1875,150.09375,151.21875,146.28125,146.0,4.6714349575324094,7.35359856951274,8.158247653106839,4.626732230666071,4.425569959767546
51,2000-03-16,141.625,146.84375,140.875,146.34375,95.90269470214844,25601400,146.9375,149.1875,152.65625,148.6875,144.25,145.09375,0.4057228272474909,4.313474268631219,1.6015374759769379,-1.430706811872731,-0.8541533205210335
52,2000-03-17,145.8125,148.0,145.4375,146.9375,96.53653717041016,10272900,146.1875,150.09375,153.5625,150.375,136.0,147.0625,-0.5104210974053595,4.5087196937473415,2.3394300297745643,-7.443641003828158,0.08507018290089324
53,2000-03-20,146.875,147.34375,144.78125,146.1875,96.04377746582033,12502300,149.1875,152.65625,151.9375,151.25,140.75,144.125,2.0521590423257803,3.9333048311244125,3.463018383924754,-3.7195382642154766,-1.410859341598974
54,2000-03-21,145.53125,149.75,144.5,149.1875,98.01473236083984,13612600,150.09375,153.5625,151.0625,150.125,144.46875,140.75,0.6074570590699624,1.2568077084206117,0.6284038542103059,-3.1629660661918724,-5.655634687892752
55,2000-03-22,149.5625,150.84375,148.6875,150.09375,98.61016845703124,8260000,152.65625,151.9375,151.21875,149.1875,143.125,141.8125,1.7072662919008952,0.749531542785759,-0.6037892983551947,-4.642931501145118,-5.517384967728503
56,2000-03-23,149.15625,153.46875,149.15625,152.65625,100.2936782836914,11654500,153.5625,151.0625,148.6875,150.484375,143.8125,143.53125,0.593654042988741,-2.5997952917093143,-1.4227226202661207,-5.793244626407369,-5.977482088024565
57,2000-03-24,152.875,155.75,151.71875,153.5625,100.8891143798828,11462900,151.9375,151.21875,150.375,151.4375,142.25,142.453125,-1.0582010582010581,-2.0757020757020754,-1.3838013838013838,-7.3667073667073675,-7.234432234432235
58,2000-03-27,153.375,153.78125,151.8125,151.9375,99.8214874267578,8798600,151.0625,148.6875,151.25,150.84375,148.15625,141.3125,-0.5758946935417524,-0.4524886877828055,-0.7198683669271905,-2.48868778280543,-6.993006993006993
59,2000-03-28,151.25,152.984375,150.59375,151.0625,99.24663543701172,6334400,151.21875,150.375,150.125,150.40625,146.484375,138.125,0.1034340091021928,-0.6206040546131568,-0.43442283822920974,-3.0306164666942492,-8.564335953661564
60,2000-03-29,151.5625,152.484375,149.65625,151.21875,99.34928894042967,6747500,148.6875,151.25,149.1875,146.28125,146.0,141.28125,-1.6738995660260385,-1.3432527381690433,-3.2651374250878282,-3.451126265757388,-6.571605703657781
61,2000-03-30,150.15625,151.921875,147.125,148.6875,97.68624877929688,9491900,150.375,150.125,150.484375,144.25,145.09375,142.8125,1.1349306431273645,1.2084909625893232,-2.9844472467423286,-2.4169819251786464,-3.9512400168137876
62,2000-03-31,149.625,152.3125,148.4375,150.375,98.79492950439452,9249100,151.25,149.1875,151.4375,136.0,147.0625,145.28125,0.5818786367414797,0.7065669160432253,-9.559434746467165,-2.202826267664173,-3.3873649210307564
63,2000-04-03,150.125,151.25,148.6875,151.25,99.36981201171876,8508200,150.125,150.484375,150.84375,140.75,144.125,146.6875,-0.743801652892562,-0.26859504132231404,-6.9421487603305785,-4.710743801652892,-3.0165289256198347
64,2000-04-04,151.75,153.0,141.390625,150.125,98.63068389892578,19585500,149.1875,151.4375,150.40625,144.46875,140.75,145.15625,-0.6244796003330557,0.18734388009991673,-3.7676935886761034,-6.244796003330558,-3.309741881765196
65,2000-04-05,147.875,150.8125,147.625,149.1875,98.01473236083984,8387200,150.484375,150.84375,146.28125,143.125,141.8125,143.375,0.8692919983242564,-1.948051948051948,-4.063678257226645,-4.943443653121073,-3.896103896103896
66,2000-04-06,150.25,151.6875,149.0,150.484375,98.86681365966795,6378500,151.4375,150.40625,144.25,143.8125,143.53125,141.125,0.6333714048385423,-4.14287197591112,-4.4335998338697955,-4.620496313986087,-6.2194995327588
67,2000-04-07,151.5625,152.125,150.5,151.4375,99.49298095703124,6023600,150.84375,146.28125,136.0,142.25,142.453125,140.0625,-0.3920759389186958,-10.193974411886092,-6.066859265373504,-5.932728023111845,-7.5113495666529095
68,2000-04-10,151.75,153.109375,150.3125,150.84375,99.10291290283205,9624200,150.40625,144.25,140.75,148.15625,141.3125,138.0,-0.290035218562254,-6.691526828257717,-1.7816449140252746,-6.318624404391962,-8.514605344934742
69,2000-04-11,150.0,151.625,148.375,150.40625,98.81543731689452,9006400,146.28125,136.0,144.46875,146.484375,138.125,140.25,-2.7425722002908786,-3.9476418034489926,-2.6075212964886765,-8.165385414502389,-6.752545190110118
70,2000-04-12,150.375,151.15625,146.15625,146.28125,96.10541534423828,10779200,144.25,140.75,143.125,146.0,141.28125,137.84375,-1.3885921811578723,-2.1576586199530015,-0.19226660969878231,-3.4180730613116856,-5.767998290963469
71,2000-04-13,147.46875,148.15625,143.78125,144.25,94.77088165283205,12225800,136.0,144.46875,143.8125,145.09375,142.8125,138.0,-5.719237435008666,-0.30329289428076256,0.5849220103986136,-0.9965337954939341,-4.332755632582322
72,2000-04-14,142.625,142.8125,133.5,136.0,89.35067749023438,29604000,140.75,143.125,142.25,147.0625,145.28125,142.5,3.4926470588235294,4.595588235294118,8.134191176470589,6.8244485294117645,4.779411764705882
73,2000-04-17,135.1875,140.75,134.6875,140.75,92.47142028808594,23918200,144.46875,143.8125,148.15625,144.125,146.6875,142.8125,2.642095914742451,5.261989342806395,2.3978685612788633,4.218472468916518,1.4653641207815276
74,2000-04-18,140.5625,144.46875,139.78125,144.46875,94.91458892822266,11069200,143.125,142.25,146.484375,140.75,145.15625,145.3125,-0.9301319489508977,1.3951979234263465,-2.574086091282717,0.4758814622539477,0.5840363400389358
75,2000-04-19,144.5,145.125,142.53125,143.125,94.03172302246094,6553700,143.8125,148.15625,146.0,141.8125,143.375,147.84375,0.48034934497816595,2.0087336244541487,-0.9170305676855894,0.17467248908296942,3.2969432314410483
76,2000-04-20,143.5625,143.9375,142.375,143.8125,94.48343658447266,8537600,142.25,146.484375,145.09375,143.53125,141.125,147.125,-1.086484137331595,0.8909169926119078,-0.1955671447196871,-1.8687527162103434,2.303346371142981
77,2000-04-24,141.5,143.3125,140.5,142.25,93.45692443847656,12893100,148.15625,146.0,147.0625,142.453125,140.0625,146.46875,4.1520210896309315,3.3831282952548327,0.14279437609841827,-1.5377855887521967,2.96572934973638
78,2000-04-25,144.625,148.15625,144.4375,148.15625,97.33719635009766,14102000,146.484375,145.09375,144.125,141.3125,138.0,147.484375,-1.1284539126766504,-2.7209449483231385,-4.619278633199747,-6.855093862054419,-0.4534908247205231
79,2000-04-26,147.96875,148.75,146.0,146.484375,96.23880004882812,7711100,146.0,147.0625,140.75,138.125,140.25,146.90625,-0.33066666666666666,-3.914666666666667,-5.706666666666667,-4.256,0.28800000000000003
80,2000-04-27,143.0,147.34375,143.0,146.0,95.92057800292967,15595300,145.09375,144.125,141.8125,141.28125,137.84375,146.59375,-0.6207191780821918,-2.868150684931507,-3.232020547945205,-5.586472602739726,0.4066780821917808
81,2000-04-28,147.0,147.859375,145.0625,145.09375,95.32521057128906,8743400,147.0625,140.75,143.53125,142.8125,138.0,144.875,1.3568813267284083,-1.0768899418479432,-1.572259315097997,-4.889080335989662,-0.15076459185871205
82,2000-05-01,146.5625,148.484375,145.84375,147.0625,96.61862182617188,7328300,144.125,141.8125,142.453125,145.28125,142.5,147.59375,-1.997450063748406,-3.134296642583936,-1.2112197195070122,-3.1024224394390143,0.3612409689757756
83,2000-05-02,145.5,147.125,144.125,144.125,94.6887664794922,9411900,140.75,143.53125,141.3125,146.6875,142.8125,147.84375,-2.3417172593235036,-1.9514310494362535,1.7779705117085862,-0.9106678230702514,2.580225498699046
84,2000-05-03,144.0,144.0,139.78125,140.75,92.47142028808594,12630700,141.8125,142.453125,138.125,145.15625,145.3125,148.15625,0.7548845470692718,-1.8650088809946712,3.130550621669627,3.2415630550621666,5.261989342806395
